"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Belgium (BE)","22.05.2015 19:00 - 22.05.2015 20:00 (CET)","269","n/e","n/e","1680","0","0","n/e","n/e","n/e","110","","14","n/e","n/e","3456","610","n/e","296","221","196","34"
"Belgium (BE)","22.05.2015 20:00 - 22.05.2015 21:00 (CET)","254","n/e","n/e","1706","0","0","n/e","n/e","n/e","110","","14","n/e","n/e","3457","585","n/e","91","223","186","44"
"Belgium (BE)","22.05.2015 21:00 - 22.05.2015 22:00 (CET)","256","n/e","n/e","1743","0","0","n/e","n/e","n/e","67","","14","n/e","n/e","3458","566","n/e","5","224","152","58"
"Belgium (BE)","22.05.2015 22:00 - 22.05.2015 23:00 (CET)","258","n/e","n/e","1793","0","0","n/e","n/e","n/e","107","","14","n/e","n/e","3457","586","n/e","0","214","90","61"
"Belgium (BE)","22.05.2015 23:00 - 23.05.2015 00:00 (CET)","256","n/e","n/e","1812","0","0","n/e","n/e","n/e","104","0","14","n/e","n/e","3459","606","n/e","0","215","110","51"
"Belgium (BE)","23.05.2015 00:00 - 23.05.2015 01:00 (CET)","267","n/e","n/e","1739","0","0","n/e","n/e","n/e","","51","14","n/e","n/e","3460","480","n/e","0","213","72","64"
"Belgium (BE)","23.05.2015 01:00 - 23.05.2015 02:00 (CET)","269","n/e","n/e","1779","0","0","n/e","n/e","n/e","","149","16","n/e","n/e","3460","469","n/e","0","213","50","62"
"Belgium (BE)","23.05.2015 02:00 - 23.05.2015 03:00 (CET)","272","n/e","n/e","1720","0","0","n/e","n/e","n/e","","151","18","n/e","n/e","3460","473","n/e","0","212","44","64"
"Belgium (BE)","23.05.2015 03:00 - 23.05.2015 04:00 (CET)","273","n/e","n/e","1689","0","0","n/e","n/e","n/e","","152","18","n/e","n/e","3461","387","n/e","0","212","43","63"
"Belgium (BE)","23.05.2015 04:00 - 23.05.2015 05:00 (CET)","267","n/e","n/e","1677","0","0","n/e","n/e","n/e","","413","18","n/e","n/e","3462","366","n/e","0","215","34","51"
"Belgium (BE)","23.05.2015 05:00 - 23.05.2015 06:00 (CET)","207","n/e","n/e","1644","0","0","n/e","n/e","n/e","","486","18","n/e","n/e","3461","348","n/e","0","215","22","48"
